TREATMENT,_TYPE_,_FREQ_,ENROLL_25,DOUBLE_MAJOR,MATH_SCIENCE_MAJOR,ENGINEERING_MAJOR,BUSINESS_MAJOR,HUMANITIES_MAJOR,SOCIAL_SCIENCE_MAJOR,PRELAW_MAJOR,EVER_PELL_RECIPIENT,FEMALE,ASIAN,BLACK,HISPANIC,U_GPA,TERMS_TO_COMPLETION_FYE,SATIM,SATIV,INCOME2006,PARENT_GRAD_SCHOOL,TR,FP
,0,5816,0.3679504814,0.05433287483,0.2610041265,0.1403026135,0.0560522696,0.1843191197,0.3834250344,0.001031636864,0.2630674003,0.5914718019,0.4528885832,0.009284731774,0.0674002751,3.185223521,4.154172398,628.3528198,587.4896836,86938.5439,0.355914718,1,0
0,1,2908,0.3662310867,0.05433287483,0.2610041265,0.1403026135,0.0560522696,0.1843191197,0.3834250344,0.001031636864,0.2630674003,0.5914718019,0.4528885832,0.009284731774,0.0674002751,3.183648556,4.149701972,628.8927098,587.6513067,91431.02125,0.355914718,1,0
1,1,2908,0.3696698762,0.05433287483,0.2610041265,0.1403026135,0.0560522696,0.1843191197,0.3834250344,0.001031636864,0.2630674003,0.5914718019,0.4528885832,0.009284731774,0.0674002751,3.186798487,4.158642824,627.8129298,587.3280605,82446.06654,0.355914718,1,0
,0,5216,0.3711656442,0.05406441718,0.2515337423,0.1276840491,0.06211656442,0.182898773,0.3991564417,0.003450920245,0.3669478528,0.6211656442,0.4624233129,0.008435582822,0.09317484663,3.186621933,4.128546779,619.3903374,580.3182515,69740.40263,0.2956288344,2,0
0,1,2608,0.3726993865,0.05406441718,0.2515337423,0.1276840491,0.06211656442,0.182898773,0.3991564417,0.003450920245,0.3669478528,0.6211656442,0.4624233129,0.008435582822,0.09317484663,3.187070552,4.13771728,620.5981595,580.8013804,72728.42019,0.2956288344,2,0
1,1,2608,0.3696319018,0.05406441718,0.2515337423,0.1276840491,0.06211656442,0.182898773,0.3991564417,0.003450920245,0.3669478528,0.6211656442,0.4624233129,0.008435582822,0.09317484663,3.186173313,4.119376278,618.1825153,579.8351227,66752.38508,0.2956288344,2,0
,0,4984,0.36035313,0.05337078652,0.2247191011,0.1336276083,0.06019261637,0.1966292135,0.4089085072,0.001203852327,0.3984751204,0.6340288925,0.4578651685,0.01163723917,0.1007223114,3.14644061,4.129180043,611.8719904,570.668138,68747.40898,0.2728731942,3,0
0,1,2492,0.3671749599,0.05337078652,0.2247191011,0.1336276083,0.06019261637,0.1966292135,0.4089085072,0.001203852327,0.3984751204,0.6340288925,0.4578651685,0.01163723917,0.1007223114,3.147423756,4.131888711,612.4638844,569.9077047,71055.35778,0.2728731942,3,0
1,1,2492,0.3535313002,0.05337078652,0.2247191011,0.1336276083,0.06019261637,0.1966292135,0.4089085072,0.001203852327,0.3984751204,0.6340288925,0.4578651685,0.01163723917,0.1007223114,3.145457464,4.126471375,611.2800963,571.4285714,66439.46019,0.2728731942,3,0
,0,4814,0.3728707935,0.06896551724,0.2467802243,0.1454092231,0.05193186539,0.1931865393,0.3996676361,0.003739094308,0.4208558371,0.6119651018,0.4428749481,0.008309098463,0.1130037391,3.143248857,4.182557817,617.1645201,576.7179061,67277.78469,0.2663066057,4,0
